time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-12-22T03:51:03.070Z,18.2528,-67.3195,10,3.26,md,16,174,0.1783,0.2,pr,pr2021356002,2021-12-22T04:28:11.278Z,"Mona Passage",earthquake,0.56,0.9,0.12,11,reviewed,pr,pr
2021-12-22T02:38:36.400Z,17.9478,-67.1038,11,2.59,md,14,240,0.0589,0.12,pr,pr2021356001,2021-12-22T02:57:33.139Z,"6 km WSW of La Parguera, Puerto Rico",earthquake,0.61,0.25,0.09,8,reviewed,pr,pr
2021-12-22T02:31:35.274Z,55.9759,-150.2008,10,2.7,ml,,,,0.75,ak,ak021gcspb3e,2021-12-22T18:14:23.644Z,"222 km SE of Chiniak, Alaska",earthquake,,0,,,reviewed,ak,ak
2021-12-22T02:20:40.852Z,-5.5908,153.9391,43.49,4.7,mb,,69,2.25,1.1,us,us6000gedb,2021-12-22T09:37:19.216Z,"189 km WNW of Panguna, Papua New Guinea",earthquake,9.4,7.8,0.09,37,reviewed,us,us
2021-12-22T02:12:52.210Z,14.9784,-92.5582,96.05,4.6,mb,,139,1.358,0.85,us,us6000ged2,2021-12-22T02:52:45.139Z,"6 km NW of Aquiles Serdán, Mexico",earthquake,7.9,7.7,0.038,207,reviewed,us,us
2021-12-22T02:09:06.129Z,-23.5632,-66.775,241.31,4.1,mb,,74,1.427,0.57,us,us6000ged0,2021-12-22T02:42:13.040Z,"86 km NNW of San Antonio de los Cobres, Argentina",earthquake,8.4,12.9,0.214,6,reviewed,us,us
2021-12-22T01:50:44.585Z,-8.3706,105.55,10,4.6,mb,,124,2.07,0.76,us,us6000gecy,2021-12-22T02:14:34.040Z,"188 km SW of Pelabuhanratu, Indonesia",earthquake,6.7,1.9,0.097,32,reviewed,us,us
2021-12-22T01:50:30.243Z,54.6397,-159.7294,19.45,3.7,mb,,195,0.208,0.59,us,us6000gecx,2021-12-22T09:15:54.182Z,"91 km SSE of Sand Point, Alaska",earthquake,4.9,8.9,0.225,5,reviewed,us,us
2021-12-22T01:35:22.930Z,19.1651666666667,-155.472833333333,31.48,2.99,ml,49,90,,0.12,hv,hv72842612,2021-12-22T03:05:55.810Z,"4 km S of Pāhala, Hawaii",earthquake,0.38,0.54,0.231327585576135,30,reviewed,hv,hv
2021-12-22T01:18:43.580Z,19.3341666666667,-155.1225,6.4,2.55,ml,40,131,,0.12,hv,hv72842597,2021-12-22T03:50:50.310Z,"14 km S of Fern Forest, Hawaii",earthquake,0.35,0.42,0.151407166540784,24,reviewed,hv,hv
2021-12-22T01:00:37.697Z,31.2291,142.2877,10,4.3,mb,,239,2.817,0.59,us,us6000gect,2021-12-22T01:44:12.040Z,"Izu Islands, Japan region",earthquake,9.3,2,0.178,9,reviewed,us,us
2021-12-22T00:43:52.740Z,19.5295,-65.4275,6,3.3,md,8,305,1.2305,0.21,pr,pr2021356000,2021-12-22T20:48:56.990Z,"129 km NNE of Vieques, Puerto Rico",earthquake,8.21,7.99,0.09,6,reviewed,pr,pr
2021-12-22T00:36:41.850Z,41.020668,-123.3205032,37.28,2.99,md,28,73,0.3445,0.13,nc,nc73667431,2021-12-22T03:05:11.345Z,"28km ENE of Willow Creek, CA",earthquake,0.53,0.67,0.14,20,automatic,nc,nc
2021-12-22T00:30:32.770Z,-7.0639,124.0609,604.33,4.4,mb,,66,2.387,0.88,us,us6000gec0,2021-12-22T00:55:54.040Z,"212 km NW of Maubara, Timor Leste",earthquake,12.3,7.4,0.09,35,reviewed,us,us
2021-12-21T23:08:19.070Z,40.2999992,-124.5446701,18.86,2.94,md,18,255,0.2003,0.12,nc,nc73667416,2021-12-22T02:25:11.135Z,"22km W of Petrolia, CA",earthquake,2.01,0.57,0.05,9,automatic,nc,nc
2021-12-21T22:58:48.020Z,19.4843,-67.751,29,3.45,md,20,229,1.1329,0.45,pr,pr2021355008,2021-12-22T00:05:18.040Z,"121 km NE of Punta Cana, Dominican Republic",earthquake,1.96,27.44,0.14,17,reviewed,pr,pr
2021-12-21T22:42:14.656Z,60.1218,-153.2117,152.6,5.9,mww,,,,0.7,ak,ak021gbh4rso,2021-12-23T02:49:46.154Z,"61 km E of Port Alsworth, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2021-12-21T22:38:38.010Z,33.3746667,-116.8803333,4.82,2.69,ml,93,18,0.02569,0.21,ci,ci39892903,2021-12-22T17:59:49.294Z,"3km NW of Palomar Observatory, CA",earthquake,0.14,0.46,0.136,26,reviewed,ci,ci
2021-12-21T22:36:45.460Z,37.1905,-112.8938333,19.65,3.62,ml,16,93,0.1828,0.17,uu,uu60472847,2021-12-23T01:38:42.950Z,"9 km E of Springdale, Utah",earthquake,0.44,0.92,0.214,26,reviewed,uu,uu
2021-12-21T21:46:46.811Z,44.3676,-115.1535,10,2.5,ml,,61,0.939,0.62,us,us6000geaa,2021-12-22T10:07:34.472Z,"23 km NW of Stanley, Idaho",earthquake,2.4,2,0.059,38,reviewed,us,us
2021-12-21T21:08:36.265Z,10.284,94.1206,23.58,4.9,mb,,79,5.662,0.93,us,us6000ge9v,2021-12-21T21:38:53.040Z,"214 km SE of Port Blair, India",earthquake,6.6,4.9,0.077,54,reviewed,us,us
2021-12-21T20:33:59.440Z,18.2375,-68.4323,111,3.71,md,22,162,0.281,0.49,pr,pr2021355005,2021-12-22T14:16:45.326Z,"24 km SE of Boca de Yuma, Dominican Republic",earthquake,2.82,1.61,0.17,22,reviewed,pr,pr
